#wavelength[A] flux[arbitraty]
  5179.12842 -0.10389334
  5186.14453 -0.0537669063
  5193.17041 -0.0103339553
  5200.20557 -0.0155001283
  5207.25049 -0.0202698112
  5214.30469 -0.0182597637
  5221.36914  0.0305485725
  5228.44238  0.00860607624
  5235.52539  0.0270955563
  5242.61816  0.0598750114
  5249.7207  0.0972503424
  5256.83203  0.00432050228
  5263.95361  0.0498268604
  5271.08496  0.0827803612
  5278.22607  0.0867705345
  5285.37646  0.107184887
  5292.53662  0.0759828091
  5299.70654  0.0975323915
  5306.88574  0.126909256
  5314.0752  0.115159631
  5321.27441  0.166944027
  5328.4834  0.179816961
  5335.70166  0.183950782
  5342.93066  0.188499928
  5350.16846  0.23703599
  5357.4165  0.199164867
  5364.67432  0.20139432
  5371.94189  0.191560626
  5379.21973  0.153916717
  5386.50684  0.181541681
  5393.8042  0.138521314
  5401.11133  0.132352948
  5408.42822  0.120479226
  5415.75488  0.0739305019
  5423.0918  0.0990129709
  5430.43848  0.129171968
  5437.79541  0.134472132
  5445.16211  0.118938446
  5452.53857  0.0868954659
  5459.92529  0.111609936
  5467.32178  0.125997186
  5474.729  0.137502789
  5482.14551  0.139767647
  5489.57227  0.125221133
  5497.00928  0.0496650934
  5504.45557  0.04456532
  5511.9126  0.0155220032
  5519.37988 -0.0332276225
  5526.85742 -0.0916880369
  5534.34473 -0.130378366
  5541.8418 -0.16254735
  5549.34961 -0.170984328
  5556.86768 -0.178649127
  5564.396 -0.18903172
  5571.93408 -0.202081263
  5579.48242 -0.214085996
  5587.04102 -0.200133622
  5594.60986 -0.211201906
  5602.18848 -0.216273248
  5609.77832 -0.204118669
  5617.37793 -0.189285278
  5624.98828 -0.141974628
  5632.60791 -0.165139496
  5640.23828 -0.162510693
  5647.87988 -0.149978638
  5655.53076 -0.148903906
  5663.19238 -0.173498988
  5670.86475 -0.157120526
  5678.54688 -0.161248207
  5686.23975 -0.16241461
  5693.94287 -0.154591382
  5701.65674 -0.142160058
  5709.38086 -0.148461163
  5717.11621 -0.116537452
  5724.86084 -0.0975897312
  5732.61621 -0.097039938
  5740.38281 -0.0954419374
  5748.15918 -0.0806775689
  5755.9458 -0.0531992912
  5763.74414 -0.0430178046
  5771.55225 -0.00634944439
  5779.37061  0.0100015402
  5787.2002  0.0535254478
  5795.04004  0.136938095
  5802.89111  0.229247212
  5810.75244  0.240002275
  5818.62451  0.246834397
  5826.50684  0.317221761
  5834.3999  0.32136786
  5842.3042  0.342551231
  5850.21875  0.365799665
  5858.14404  0.363415718
